iter	Passed	Remaining
0	1	321
1	3	322
2	4	295
3	5	276
4	6	265
5	7	258
6	9	259
7	10	254
8	12	255
9	13	252
10	14	249
11	15	246
12	17	247
13	18	249
14	20	249
15	21	247
16	22	245
17	23	242
18	25	238
19	26	235
20	27	233
21	28	230
22	29	229
23	31	227
24	31	223
25	32	220
26	33	216
27	34	213
28	35	210
29	36	209
30	38	207
31	39	206
32	40	204
33	41	203
34	42	201
35	43	199
36	45	200
37	46	198
38	47	196
39	48	194
40	49	193
41	51	192
42	52	190
43	53	189
44	54	187
45	55	186
46	57	185
47	58	184
48	59	184
49	60	182
50	61	180
51	62	179
52	63	176
53	64	175
54	65	173
55	66	172
56	68	170
57	69	170
58	70	168
59	71	167
60	72	165
61	73	164
62	75	163
63	76	162
64	77	160
65	78	159
66	79	158
67	80	156
68	81	155
69	83	154
70	84	152
71	84	151
72	85	149
73	87	148
74	87	146
75	88	144
76	89	142
77	90	141
78	91	140
79	92	139
80	94	138
81	95	137
82	96	135
83	97	134
84	98	133
85	100	132
86	101	131
87	102	129
88	102	128
89	104	127
90	105	126
91	106	124
92	107	123
93	108	122
94	109	121
95	111	120
96	112	119
97	113	118
98	114	116
99	115	115
100	117	114
101	118	113
102	119	112
103	120	111
104	122	110
105	123	109
106	124	107
107	125	106
108	126	105
109	128	104
110	129	103
111	130	102
112	130	100
113	132	99
114	133	98
115	134	97
116	135	96
117	136	95
118	137	93
119	139	92
120	140	91
121	142	90
122	143	89
123	144	88
124	145	87
125	146	86
126	147	84
127	149	83
128	150	82
129	151	81
130	152	80
131	153	79
132	155	78
133	156	76
134	157	75
135	158	74
136	159	73
137	160	72
138	161	71
139	163	69
140	164	68
141	165	67
142	166	66
143	167	65
144	168	63
145	169	62
146	170	61
147	171	60
148	172	59
149	173	57
150	174	56
151	175	55
152	177	54
153	178	53
154	179	52
155	180	50
156	181	49
157	182	48
158	184	47
159	185	46
160	186	45
161	187	43
162	188	42
163	189	41
164	191	40
165	192	39
166	193	38
167	194	37
168	196	36
169	197	34
170	198	33
171	199	32
172	200	31
173	201	30
174	202	28
175	204	27
176	205	26
177	206	25
178	207	24
179	209	23
180	210	22
181	211	20
182	212	19
183	213	18
184	214	17
185	215	16
186	216	15
187	217	13
188	219	12
189	220	11
190	221	10
191	222	9
192	223	8
193	225	6
194	226	5
195	227	4
196	228	3
197	229	2
198	230	1
199	231	0
